theta,phi,obj_id,filename,r,g,b
40,140,4,theta040_phi140_obj004_color.png,220,210,132
40,140,5,theta040_phi140_obj005_color.png,158,195,181
40,160,1,theta040_phi160_obj001_color.png,79,95,131
40,160,2,theta040_phi160_obj002_color.png,106,71,174
40,160,3,theta040_phi160_obj003_color.png,165,127,163
40,160,4,theta040_phi160_obj004_color.png,220,210,132
40,160,5,theta040_phi160_obj005_color.png,158,195,181
40,180,1,theta040_phi180_obj001_color.png,79,95,131
40,180,2,theta040_phi180_obj002_color.png,106,71,174
40,180,3,theta040_phi180_obj003_color.png,165,127,163
40,180,4,theta040_phi180_obj004_color.png,220,210,132
40,180,5,theta040_phi180_obj005_color.png,158,195,181
40,200,1,theta040_phi200_obj001_color.png,79,95,131
40,200,2,theta040_phi200_obj002_color.png,106,71,174
40,200,3,theta040_phi200_obj003_color.png,165,127,163
40,200,4,theta040_phi200_obj004_color.png,220,210,132
40,200,5,theta040_phi200_obj005_color.png,158,195,181
40,220,1,theta040_phi220_obj001_color.png,79,95,131
40,220,2,theta040_phi220_obj002_color.png,106,71,174
40,220,3,theta040_phi220_obj003_color.png,165,127,163
40,220,4,theta040_phi220_obj004_color.png,220,210,132
40,220,5,theta040_phi220_obj005_color.png,158,195,181
40,240,1,theta040_phi240_obj001_color.png,79,95,131
40,240,2,theta040_phi240_obj002_color.png,106,71,174
40,240,3,theta040_phi240_obj003_color.png,165,127,163
40,240,4,theta040_phi240_obj004_color.png,220,210,132
40,240,5,theta040_phi240_obj005_color.png,158,195,181
40,260,1,theta040_phi260_obj001_color.png,79,95,131
40,260,2,theta040_phi260_obj002_color.png,106,71,174
40,260,3,theta040_phi260_obj003_color.png,165,127,163
40,260,4,theta040_phi260_obj004_color.png,220,210,132
40,260,5,theta040_phi260_obj005_color.png,158,195,181
40,280,1,theta040_phi280_obj001_color.png,79,95,131
40,280,2,theta040_phi280_obj002_color.png,106,71,174
40,280,3,theta040_phi280_obj003_color.png,165,127,163
40,280,4,theta040_phi280_obj004_color.png,220,210,132
40,280,5,theta040_phi280_obj005_color.png,158,195,181
40,300,1,theta040_phi300_obj001_color.png,79,95,131
40,300,2,theta040_phi300_obj002_color.png,106,71,174
40,300,3,theta040_phi300_obj003_color.png,165,127,163
40,300,4,theta040_phi300_obj004_color.png,220,210,132
40,300,5,theta040_phi300_obj005_color.png,158,195,181
40,320,1,theta040_phi320_obj001_color.png,79,95,131
40,320,2,theta040_phi320_obj002_color.png,106,71,174
40,320,3,theta040_phi320_obj003_color.png,165,127,163
40,320,4,theta040_phi320_obj004_color.png,220,210,132
40,320,5,theta040_phi320_obj005_color.png,158,195,181
40,340,1,theta040_phi340_obj001_color.png,79,95,131
40,340,2,theta040_phi340_obj002_color.png,106,71,174
40,340,3,theta040_phi340_obj003_color.png,165,127,163
40,340,4,theta040_phi340_obj004_color.png,220,210,132
40,340,5,theta040_phi340_obj005_color.png,158,195,181
50,0,1,theta050_phi000_obj001_color.png,79,95,131
50,0,2,theta050_phi000_obj002_color.png,106,71,174
50,0,3,theta050_phi000_obj003_color.png,165,127,163
50,0,4,theta050_phi000_obj004_color.png,220,210,132
50,0,5,theta050_phi000_obj005_color.png,158,195,181
50,20,1,theta050_phi020_obj001_color.png,79,95,131
50,20,2,theta050_phi020_obj002_color.png,106,71,174
50,20,3,theta050_phi020_obj003_color.png,165,127,163
50,20,4,theta050_phi020_obj004_color.png,220,210,132
50,20,5,theta050_phi020_obj005_color.png,158,195,181
50,40,1,theta050_phi040_obj001_color.png,79,95,131
50,40,2,theta050_phi040_obj002_color.png,106,71,174
50,40,3,theta050_phi040_obj003_color.png,165,127,163
50,40,4,theta050_phi040_obj004_color.png,220,210,132
50,40,5,theta050_phi040_obj005_color.png,158,195,181
50,60,1,theta050_phi060_obj001_color.png,79,95,131
50,60,2,theta050_phi060_obj002_color.png,106,71,174
50,60,3,theta050_phi060_obj003_color.png,165,127,163
50,60,4,theta050_phi060_obj004_color.png,220,210,132
50,60,5,theta050_phi060_obj005_color.png,158,195,181
50,80,1,theta050_phi080_obj001_color.png,79,95,131
50,80,2,theta050_phi080_obj002_color.png,106,71,174
50,80,3,theta050_phi080_obj003_color.png,165,127,163
50,80,4,theta050_phi080_obj004_color.png,220,210,132
50,80,5,theta050_phi080_obj005_color.png,158,195,181
50,100,1,theta050_phi100_obj001_color.png,79,95,131
50,100,2,theta050_phi100_obj002_color.png,106,71,174
50,100,3,theta050_phi100_obj003_color.png,165,127,163
50,100,4,theta050_phi100_obj004_color.png,220,210,132
50,100,5,theta050_phi100_obj005_color.png,158,195,181
50,120,1,theta050_phi120_obj001_color.png,79,95,131
50,120,2,theta050_phi120_obj002_color.png,106,71,174
50,120,3,theta050_phi120_obj003_color.png,165,127,163
50,120,4,theta050_phi120_obj004_color.png,220,210,132
50,120,5,theta050_phi120_obj005_color.png,158,195,181
50,140,1,theta050_phi140_obj001_color.png,79,95,131
50,140,2,theta050_phi140_obj002_color.png,106,71,174
50,140,3,theta050_phi140_obj003_color.png,165,127,163
50,140,4,theta050_phi140_obj004_color.png,220,210,132
50,140,5,theta050_phi140_obj005_color.png,158,195,181
50,160,1,theta050_phi160_obj001_color.png,79,95,131
50,160,2,theta050_phi160_obj002_color.png,106,71,174
50,160,3,theta050_phi160_obj003_color.png,165,127,163
50,160,4,theta050_phi160_obj004_color.png,220,210,132
50,160,5,theta050_phi160_obj005_color.png,158,195,181
50,180,1,theta050_phi180_obj001_color.png,79,95,131
50,180,2,theta050_phi180_obj002_color.png,106,71,174
